i    j    k    brain       skull       skin        outside     
0    10   13   0.000000    0.000000    0.001465    0.998535    
0    10   14   0.000000    0.000000    0.016602    0.983398    
0    10   15   0.000000    0.000000    0.048340    0.951660    
0    10   16   0.000000    0.000000    0.051270    0.948730    
0    10   17   0.000000    0.000000    0.020020    0.979980    
0    11   12   0.000000    0.000000    0.020020    0.979980    
0    11   13   0.000000    0.003906    0.136719    0.859375    
0    11   15   0.000000    0.073730    0.267090    0.659180    
0    11   14   0.000000    0.049316    0.259277    0.691406    
0    11   16   0.000000    0.077148    0.254395    0.668457    
0    11   18   0.000000    0.004883    0.132324    0.862793    
0    11   17   0.000000    0.041992    0.218262    0.739746    
0    11   19   0.000000    0.000000    0.020508    0.979492    
0    12   11   0.000000    0.000000    0.022461    0.977539    
0    12   16   0.085449    0.257812    0.270996    0.385742    
0    12   12   0.000000    0.019043    0.183105    0.797852    
0    12   14   0.026855    0.243652    0.250488    0.479004    
0    12   13   0.000488    0.145020    0.257324    0.597168    
0    12   15   0.087402    0.272461    0.248047    0.392090    
0    12   17   0.029785    0.224609    0.264648    0.480957    
0    12   18   0.000977    0.150879    0.260742    0.587402    
0    12   19   0.000000    0.016113    0.194336    0.789551    
0    12   20   0.000000    0.000000    0.022461    0.977539    
0    13   12   0.003418    0.142578    0.266113    0.587891    
0    13   11   0.000000    0.006348    0.143555    0.850098    
0    13   15   0.253418    0.259277    0.267578    0.219727    
0    13   16   0.277344    0.256348    0.255371    0.210938    
0    13   14   0.211426    0.266602    0.250000    0.271973    
0    13   13   0.088867    0.241699    0.267090    0.402344    
0    13   18   0.089844    0.269043    0.260742    0.380371    
0    13   17   0.211914    0.266113    0.265625    0.256348    
0    13   19   0.001465    0.147949    0.258301    0.592285    
0    13   20   0.000000    0.002441    0.135254    0.862305    
0    13   21   0.000000    0.000000    0.000488    0.999512    
0    14   10   0.000000    0.000000    0.022949    0.977051    
0    14   11   0.000000    0.054688    0.233398    0.711914    
0    14   14   0.333008    0.267578    0.256348    0.143066    
0    14   13   0.226074    0.250000    0.250977    0.272949    
0    14   12   0.043945    0.239258    0.268555    0.448242    
0    14   15   0.407715    0.239258    0.267090    0.085938    
0    14   16   0.389160    0.268555    0.255371    0.086914    
0    14   18   0.209961    0.256348    0.273438    0.260254    
0    14   19   0.043457    0.249512    0.246094    0.460938    
0    14   17   0.344238    0.252930    0.265625    0.137207    
0    14   21   0.000000    0.000000    0.023926    0.976074    
0    14   20   0.000000    0.046875    0.239746    0.713379    
0    15   10   0.000000    0.000000    0.052246    0.947754    
0    15   12   0.079590    0.278809    0.251465    0.390137    
0    15   11   0.000000    0.087402    0.240234    0.672363    
0    15   15   0.472656    0.256348    0.251465    0.019531    
0    15   13   0.288574    0.259766    0.240723    0.210938    
0    15   14   0.411621    0.238281    0.261230    0.088867    
0    15   17   0.391602    0.259766    0.268555    0.080078    
0    15   18   0.270508    0.248535    0.262695    0.218262    
0    15   16   0.458496    0.249023    0.269531    0.022949    
0    15   19   0.075684    0.252930    0.255859    0.415527    
0    15   20   0.000000    0.083984    0.234375    0.681641    
0    15   21   0.000000    0.000000    0.049316    0.950684    
0    16   10   0.000000    0.000000    0.049805    0.950195    
0    16   12   0.078125    0.242188    0.271484    0.408203    
0    16   11   0.000000    0.091309    0.256348    0.652344    
0    16   13   0.267578    0.254883    0.271973    0.205566    
0    16   15   0.452637    0.257812    0.275391    0.014160    
0    16   16   0.456055    0.260254    0.268555    0.015137    
0    16   17   0.425293    0.254395    0.249023    0.071289    
0    16   14   0.397461    0.264648    0.254395    0.083496    
0    16   19   0.078125    0.262207    0.256348    0.403320    
0    16   21   0.000000    0.000000    0.047852    0.952148    
0    16   18   0.267578    0.250977    0.257812    0.223633    
0    16   20   0.000000    0.105957    0.235840    0.658203    
0    17   10   0.000000    0.000000    0.016113    0.983887    
0    17   12   0.032715    0.230957    0.253906    0.482422    
0    17   15   0.391602    0.260254    0.254883    0.093262    
0    17   11   0.000000    0.040527    0.233887    0.725586    
0    17   16   0.395508    0.252930    0.262695    0.088867    
0    17   13   0.192871    0.267578    0.256348    0.283203    
0    17   14   0.310547    0.260254    0.270508    0.158691    
0    17   17   0.337402    0.262207    0.262695    0.137695    
0    17   19   0.041992    0.254883    0.247559    0.455566    
0    17   18   0.222656    0.239746    0.266602    0.270996    
0    17   20   0.000000    0.040527    0.224609    0.734863    
0    17   21   0.000000    0.000000    0.020020    0.979980    
0    18   13   0.079590    0.258301    0.254395    0.407715    
0    18   11   0.000000    0.004395    0.140625    0.854980    
0    18   15   0.252930    0.265625    0.252441    0.229004    
0    18   12   0.001465    0.151855    0.247070    0.599609    
0    18   14   0.214355    0.247070    0.245605    0.292969    
0    18   16   0.275391    0.269531    0.257324    0.197754    
0    18   17   0.194824    0.254395    0.276855    0.273926    
0    18   18   0.093750    0.241211    0.261230    0.403809    
0    18   20   0.000000    0.005371    0.156250    0.838379    
0    18   19   0.001953    0.135742    0.265137    0.597168    
0    19   11   0.000000    0.000000    0.019531    0.980469    
0    19   14   0.036621    0.229004    0.267578    0.466797    
0    19   13   0.002930    0.147461    0.280273    0.569336    
0    19   12   0.000000    0.017578    0.196777    0.785645    
0    19   15   0.075684    0.273438    0.259766    0.391113    
0    19   17   0.032227    0.237305    0.276367    0.454102    
0    19   16   0.084473    0.264160    0.250977    0.400391    
0    19   18   0.000977    0.148438    0.260254    0.590332    
0    19   20   0.000000    0.000000    0.022949    0.977051    
0    19   19   0.000000    0.012207    0.193848    0.793945    
0    20   14   0.000000    0.042480    0.245117    0.712402    
0    20   13   0.000000    0.004395    0.138184    0.857422    
0    20   12   0.000000    0.000000    0.021484    0.978516    
