i    j    k    brain       skull       skin        outside     
0    10   13   0.000000    0.000000    0.001953    0.998047    
0    10   14   0.000000    0.000000    0.025391    0.974609    
0    10   18   0.000000    0.000000    0.000488    0.999512    
0    10   15   0.000000    0.000000    0.055176    0.944824    
0    10   16   0.000000    0.000000    0.048340    0.951660    
0    10   17   0.000000    0.000000    0.022949    0.977051    
0    11   14   0.000000    0.043945    0.245117    0.710938    
0    11   12   0.000000    0.000000    0.019043    0.980957    
0    11   13   0.000000    0.006836    0.147949    0.845215    
0    11   16   0.000000    0.083496    0.246582    0.669922    
0    11   15   0.000000    0.079102    0.247070    0.673828    
0    11   17   0.000000    0.041992    0.223633    0.734375    
0    11   19   0.000000    0.000000    0.020996    0.979004    
0    11   18   0.000000    0.003906    0.135742    0.860352    
0    12   13   0.001953    0.137207    0.284668    0.576172    
0    12   11   0.000000    0.000000    0.016602    0.983398    
0    12   12   0.000000    0.019043    0.194336    0.786621    
0    12   14   0.039551    0.231934    0.276367    0.452148    
0    12   15   0.093262    0.262207    0.265137    0.379395    
0    12   16   0.078125    0.270996    0.250488    0.400391    
0    12   17   0.037598    0.232910    0.279297    0.450195    
0    12   20   0.000000    0.000000    0.019043    0.980957    
0    12   19   0.000000    0.019043    0.189453    0.791504    
0    12   18   0.001465    0.125000    0.282715    0.590820    
0    13   12   0.000488    0.145508    0.273438    0.580566    
0    13   13   0.084473    0.248047    0.258789    0.408691    
0    13   11   0.000000    0.005371    0.123535    0.871094    
0    13   14   0.206055    0.253906    0.265625    0.274414    
0    13   19   0.002441    0.139160    0.267578    0.590820    
0    13   15   0.288574    0.262207    0.254883    0.194336    
0    13   16   0.272949    0.234863    0.267578    0.224609    
0    13   18   0.074219    0.267090    0.254395    0.404297    
0    13   17   0.191406    0.266602    0.260742    0.281250    
0    13   20   0.000000    0.005371    0.145020    0.849609    
0    13   21   0.000000    0.000000    0.000488    0.999512    
0    14   10   0.000000    0.000000    0.024902    0.975098    
0    14   14   0.345703    0.254395    0.255859    0.144043    
0    14   11   0.000000    0.041504    0.228027    0.730469    
0    14   15   0.408691    0.254395    0.255859    0.081055    
0    14   13   0.200684    0.253418    0.270020    0.275879    
0    14   12   0.043457    0.220703    0.262695    0.473145    
0    14   16   0.400879    0.249023    0.256348    0.093750    
0    14   18   0.200684    0.258789    0.254395    0.286133    
0    14   17   0.348145    0.246094    0.254883    0.150879    
0    14   19   0.045898    0.252441    0.243164    0.458496    
0    14   21   0.000000    0.000000    0.021484    0.978516    
0    14   20   0.000000    0.042969    0.240723    0.716309    
0    15   10   0.000000    0.000000    0.053711    0.946289    
0    15   11   0.000000    0.081055    0.258789    0.660156    
0    15   13   0.264648    0.267578    0.249023    0.218750    
0    15   12   0.072266    0.250977    0.250000    0.426758    
0    15   15   0.471680    0.249023    0.258301    0.020996    
0    15   14   0.386230    0.257812    0.264160    0.091797    
0    15   16   0.465820    0.253906    0.260742    0.019531    
0    15   21   0.000000    0.000000    0.052246    0.947754    
0    15   17   0.409180    0.248047    0.256836    0.085938    
0    15   18   0.266602    0.263184    0.264648    0.205566    
0    15   19   0.078125    0.251953    0.238281    0.431641    
0    15   20   0.000000    0.103027    0.232910    0.664062    
0    16   10   0.000000    0.000000    0.058105    0.941895    
0    16   12   0.080566    0.245117    0.261719    0.412598    
0    16   11   0.000000    0.099609    0.248047    0.652344    
0    16   13   0.270020    0.240723    0.278320    0.210938    
0    16   15   0.452148    0.266113    0.258301    0.023438    
0    16   16   0.460449    0.265137    0.254883    0.019531    
0    16   14   0.401367    0.246582    0.252930    0.099121    
0    16   18   0.290039    0.249023    0.249023    0.211914    
0    16   17   0.421387    0.263672    0.232422    0.082520    
0    16   19   0.076172    0.271484    0.257812    0.394531    
0    16   20   0.000000    0.077148    0.246582    0.676270    
0    16   21   0.000000    0.000000    0.051758    0.948242    
0    17   11   0.000000    0.053711    0.244629    0.701660    
0    17   10   0.000000    0.000000    0.025391    0.974609    
0    17   12   0.042969    0.250977    0.259277    0.446777    
0    17   14   0.317871    0.277344    0.268066    0.136719    
0    17   15   0.412109    0.252441    0.259766    0.075684    
0    17   13   0.217773    0.255859    0.256348    0.270020    
0    17   16   0.405762    0.248535    0.275391    0.070312    
0    17   20   0.000000    0.045898    0.242188    0.711914    
0    17   17   0.327148    0.264160    0.247559    0.161133    
0    17   18   0.197754    0.267578    0.257324    0.277344    
0    17   19   0.041504    0.225586    0.262207    0.470703    
0    17   21   0.000000    0.000000    0.024414    0.975586    
0    18   11   0.000000    0.003418    0.138184    0.858398    
0    18   10   0.000000    0.000000    0.001953    0.998047    
0    18   13   0.072754    0.259277    0.252441    0.415527    
0    18   16   0.273438    0.249023    0.267090    0.210449    
0    18   14   0.200195    0.263672    0.264648    0.271484    
0    18   17   0.206055    0.269043    0.251953    0.272949    
0    18   15   0.285645    0.257324    0.254883    0.202148    
0    18   12   0.000488    0.129395    0.263184    0.606934    
0    18   19   0.003418    0.142090    0.259766    0.594727    
0    18   18   0.080566    0.266602    0.250977    0.401855    
0    18   20   0.000000    0.003418    0.143555    0.853027    
0    18   21   0.000000    0.000000    0.001465    0.998535    
0    19   12   0.000000    0.020020    0.211914    0.768066    
0    19   11   0.000000    0.000000    0.025879    0.974121    
0    19   15   0.084473    0.254883    0.261230    0.399414    
0    19   13   0.000977    0.129883    0.279785    0.589355    
0    19   16   0.079102    0.264648    0.254395    0.401855    
0    19   14   0.039062    0.223145    0.270508    0.467285    
0    19   17   0.034180    0.229004    0.270020    0.466797    
0    19   18   0.001465    0.122070    0.268555    0.607910    
0    19   20   0.000000    0.000000    0.017090    0.982910    
0    19   19   0.000000    0.019531    0.201660    0.778809    
0    20   15   0.000000    0.085449    0.244629    0.669922    
0    20   12   0.000000    0.000000    0.017578    0.982422    
0    20   13   0.000000    0.003906    0.155273    0.840820    
0    20   17   0.000000    0.050781    0.232422    0.716797    
0    20   16   0.000000    0.093262    0.241699    0.665039    
0    20   18   0.000000    0.004395    0.141113    0.854492    
0    20   19   0.000000    0.000000    0.018066    0.981934    
0    20   14   0.000000    0.040039    0.227539    0.732422    
0    21   13   0.000000    0.000000    0.000977    0.999023    
0    21   15   0.000000    0.000000    0.054199    0.945801    
0    21   16   0.000000    0.000000    0.044434    0.955566    
0    21   14   0.000000    0.000000    0.020508    0.979492    
0    21   17   0.000000    0.000000    0.027344    0.972656    
0    21   18   0.000000    0.000000    0.000488    0.999512    
1    8    13   0.000000    0.000000    0.026367    0.973633    
1    8    16   0.000000    0.013672    0.126465    0.859863    
1    8    18   0.000000    0.000000    0.033691    0.966309    
1    8    14   0.000000    0.001465    0.076660    0.921875    
1    8    12   0.000000    0.000000    0.000488    0.999512    
1    8    17   0.000000    0.001953    0.090332    0.907715    
1    8    15   0.000000    0.005859    0.137695    0.856445    
1    9    12   0.000000    0.027832    0.164062    0.808105    
1    9    14   0.057129    0.211914    0.262695    0.468262    
1    9    11   0.000000    0.000000    0.029785    0.970215    
1    9    15   0.086426    0.246582    0.263672    0.403320    
1    9    20   0.000000    0.000000    0.027344    0.972656    
1    9    18   0.009277    0.126465    0.243652    0.620605    
1    9    17   0.059082    0.210449    0.268066    0.462402    
1    9    16   0.102051    0.230469    0.271484    0.395996    
1    9    19   0.000000    0.033691    0.157227    0.809082    
1    9    13   0.007324    0.129883    0.266602    0.596191    
1    10   10   0.000000    0.000488    0.057129    0.942383    
1    10   12   0.091309    0.228027    0.291016    0.389648    
1    10   14   0.409180    0.268066    0.258789    0.063965    
1    10   11   0.003418    0.084473    0.235352    0.676758    
1    10   15   0.486816    0.261230    0.213379    0.038574    
1    10   19   0.084473    0.250000    0.276367    0.389160    
1    10   21   0.000000    0.000488    0.050781    0.948730    
1    10   16   0.487793    0.262207    0.211426    0.038574    
1    10   20   0.005859    0.091797    0.235840    0.666504    
1    10   13   0.266602    0.273438    0.274414    0.185547    
1    10   17   0.406250    0.271973    0.241211    0.080566    
1    10   18   0.275879    0.275391    0.268066    0.180664    
1    11   11   0.151367    0.248047    0.254883    0.345703    
1    11   12   0.400879    0.273926    0.249023    0.076172    
1    11   14   0.748047    0.214355    0.037598    0.000000    
1    11   13   0.631836    0.258301    0.105957    0.003906    
1    11   17   0.744629    0.224121    0.031250    0.000000    
1    11   16   0.812012    0.177246    0.010742    0.000000    
1    11   10   0.003906    0.090820    0.219727    0.685547    
1    11   21   0.004395    0.091797    0.235840    0.667969    
1    11   9    0.000000    0.000000    0.025391    0.974609    
1    11   18   0.611328    0.264160    0.121094    0.003418    
1    11   15   0.799805    0.192871    0.007324    0.000000    
1    11   20   0.135254    0.264160    0.264160    0.336426    
1    11   19   0.413574    0.250488    0.257812    0.078125    
1    11   22   0.000000    0.000000    0.024414    0.975586    
1    12   9    0.000000    0.032227    0.167969    0.799805    
1    12   12   0.685547    0.248047    0.066406    0.000000    
1    12   10   0.092285    0.229980    0.274414    0.403320    
1    12   13   0.895508    0.103516    0.000977    0.000000    
1    12   16   0.998047    0.001953    0.000000    0.000000    
1    12   21   0.094727    0.246582    0.265625    0.393066    
1    12   17   0.975098    0.024902    0.000000    0.000000    
1    12   11   0.409180    0.261230    0.249512    0.080078    
1    12   15   0.995117    0.004883    0.000000    0.000000    
1    12   18   0.894043    0.104980    0.000977    0.000000    
1    12   22   0.000000    0.027344    0.177246    0.795410    
1    12   14   0.973145    0.026855    0.000000    0.000000    
1    12   20   0.407715    0.268066    0.245117    0.079102    
1    12   23   0.000000    0.000000    0.000488    0.999512    
1    12   19   0.686035    0.241699    0.072266    0.000000    
1    13   9    0.010742    0.141113    0.266602    0.581543    
1    13   10   0.279297    0.275391    0.262695    0.182617    
1    13   14   1.000000    0.000000    0.000000    0.000000    
1    13   11   0.614746    0.257324    0.127441    0.000488    
1    13   15   1.000000    0.000000    0.000000    0.000000    
1    13   17   1.000000    0.000000    0.000000    0.000000    
1    13   21   0.283203    0.259766    0.263184    0.193848    
1    13   22   0.009766    0.134277    0.255371    0.600586    
